Symbol,Name,Category
SPY,SPDR S&P 500 ETF,Equity - Broad
QQQ,Invesco QQQ Trust,Equity - Broad
VTI,Vanguard Total Stock Market Index Fund ETF Shares,Equity - Broad
TLT,iShares 20+ Year Treasury Bond ETF,Bond
GLD,SPDR Gold Shares,Commodity
IWM,iShares Russell 2000 ETF,Other
BND,Vanguard Total Bond Market Index Fund,Bond
IVV,iShares Core S&P 500 ETF,Equity - Broad
EFA,iShares MSCI EAFE ETF,Other
VNQ,Vanguard Real Estate Index Fund ETF Shares,REIT
XLF,The Financial Select Sector SPDR Fund,Other
XLK,The Technology Select Sector SPDR Fund,Other
XLY,The Consumer Discretionary Select Sector SPDR Fund,Other
XLV,The Health Care Select Sector SPDR Fund,Other
XLI,The Industrial Select Sector SPDR Fund,Other
XLE,The Energy Select Sector SPDR Fund,Other
XLB,The Materials Select Sector SPDR Fund,Other
XLU,The Utilities Select Sector SPDR Fund,Other
XLC,The Communication Services Select Sector SPDR ETF Fund,Other
XBI,SPDR S&P Biotech ETF,Other
ARKK,ARK Innovation ETF,Thematic
DIA,SPDR Dow Jones Industrial Average ETF Trust,Other
VEA,Vanguard FTSE Developed Markets Index Fund ETF Shares,Other
VWO,Vanguard Emerging Markets Stock Index Fund,Other
EEM,iShares MSCI Emerging Markets ETF,Other
EWW,iShares MSCI Mexico ETF,Other
EWJ,iShares MSCI Japan ETF,Other
EWG,iShares MSCI Germany ETF,Other
FXI,iShares China Large-Cap ETF,Other
GDX,VanEck Gold Miners ETF,Other
GDXJ,VanEck Junior Gold Miners ETF,Other
SLV,iShares Silver Trust,Commodity
USO,"United States Oil Fund, LP",Commodity
UNG,"United States Natural Gas Fund, LP",Commodity
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Bond
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,Bond
SHY,iShares 1-3 Year Treasury Bond ETF,Bond
IEF,iShares 7-10 Year Treasury Bond ETF,Bond
TLH,iShares 10-20 Year Treasury Bond ETF,Other
TIP,iShares TIPS Bond ETF,Bond
AGG,iShares Core U.S. Aggregate Bond ETF,Bond
MUB,iShares National Muni Bond ETF,Other
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,Other
BSV,Vanguard Short-Term Bond Index Fund ETF Shares,Other
BNDX,Vanguard Total International Bond Index Fund,Other
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,Other
VCIT,Vanguard Intermediate-Term Corporate Bond Index Fund ETF Shares,Other
VCSH,Vanguard Short-Term Corporate Bond Index Fund ETF Shares,Other
VGLT,Vanguard Long-Term Treasury Index Fund ETF Shares,Other
VGIT,Vanguard Intermediate-Term Treasury Index Fund ETF Shares,Other
VGSH,Vanguard Short-Term Treasury Index Fund ETF Shares,Other
VOO,Vanguard S&P 500 ETF,Equity - Broad
VUG,Vanguard Growth Index Fund ETF Shares,Other
VTV,Vanguard Value Index Fund ETF Shares,Other
VO,Vanguard Mid-Cap Index Fund ETF Shares,Other
VB,Vanguard Small-Cap Index Fund ETF Shares,Other
VBR,Vanguard Small-Cap Value Index Fund ETF Shares,Other
VTWO,Vanguard Russell 2000 Index Fund ETF Shares,Other
VTIAX,Vanguard Total Intl Stock Index Admiral,Other
VXUS,Vanguard Total International Stock Index Fund ETF Shares,Other
SCHB,Schwab U.S. Broad Market ETF,Other
SCHX,Schwab U.S. Large-Cap ETF,Other
SCHA,Schwab U.S. Small-Cap ETF,Other
SCHD,Schwab U.S. Dividend Equity ETF,Other
SCHF,Schwab International Equity ETF,Other
SCHE,Schwab Emerging Markets Equity ETF,Other
SCHP,Schwab U.S. TIPS ETF,Other
SCHO,Schwab Short-Term U.S. Treasury ETF,Other
SPSM,SPDR Portfolio S&P 600 Small Cap ETF,Other
SPLG,SPDR Portfolio S&P 500 ETF,Other
SPLV,Invesco S&P 500 Low Volatility ETF,Other
SPYG,SPDR Portfolio S&P 500 Growth ETF,Other
SPYV,SPDR Portfolio S&P 500 Value ETF,Other
RSP,Invesco S&P 500 Equal Weight ETF,Other
IVOO,Vanguard S&P Mid-Cap 400 Index Fund ETF Shares,Other
IJR,iShares Core S&P Small-Cap ETF,Other
IJS,iShares S&P Small-Cap 600 Value ETF,Other
IJH,iShares Core S&P Mid-Cap ETF,Other
IWR,iShares Russell Mid-Cap ETF,Other
IWF,iShares Russell 1000 Growth ETF,Other
IWD,iShares Russell 1000 Value ETF,Other
IWB,iShares Russell 1000 ETF,Equity - Broad
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Equity - Broad
MTUM,iShares MSCI USA Momentum Factor ETF,Other
QUAL,iShares MSCI USA Quality Factor ETF,Other
USMV,iShares MSCI USA Min Vol Factor ETF,Other
VYM,Vanguard High Dividend Yield Index Fund ETF Shares,Other
HDV,iShares Core High Dividend ETF,Other
DVY,iShares Select Dividend ETF,Other
SDY,SPDR S&P Dividend ETF,Other
NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Other
PFF,iShares Preferred and Income Securities ETF,Other
SCHH,Schwab U.S. REIT ETF,REIT
VNQI,Vanguard Global ex-U.S. Real Estate Index Fund ETF Shares,Other
REET,iShares Global REIT ETF,Other
REM,iShares Mortgage Real Estate Capped ETF,Other
