Ticker,Company,Sector,Industry,Yahoo Name
MMM,3M,Industrials,Industrial Conglomerates,3M Company
AOS,A. O. Smith,Industrials,Building Products,A. O. Smith Corporation
ABT,Abbott Laboratories,Health Care,Health Care Equipment,Abbott Laboratories
ABBV,AbbVie,Health Care,Biotechnology,AbbVie Inc.
ACN,Accenture,Information Technology,IT Consulting & Other Services,Accenture plc
ADBE,Adobe Inc.,Information Technology,Application Software,Adobe Inc.
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Advanced Micro Devices, Inc."
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,The AES Corporation
AFL,Aflac,Financials,Life & Health Insurance,Aflac Incorporated
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Agilent Technologies, Inc."
APD,Air Products,Materials,Industrial Gases,"Air Products and Chemicals, Inc."
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Airbnb, Inc."
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Akamai Technologies, Inc."
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Albemarle Corporation
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Alexandria Real Estate Equities, Inc."
ALGN,Align Technology,Health Care,Health Care Supplies,"Align Technology, Inc."
ALLE,Allegion,Industrials,Building Products,Allegion plc
LNT,Alliant Energy,Utilities,Electric Utilities,Alliant Energy Corporation
ALL,Allstate,Financials,Property & Casualty Insurance,The Allstate Corporation
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Alphabet Inc.
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Alphabet Inc.
MO,Altria,Consumer Staples,Tobacco,"Altria Group, Inc."
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Amazon.com, Inc."
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Amcor plc
AEE,Ameren,Utilities,Multi-Utilities,Ameren Corporation
AEP,American Electric Power,Utilities,Electric Utilities,"American Electric Power Company, Inc."
AXP,American Express,Financials,Consumer Finance,American Express Company
AIG,American International Group,Financials,Multi-line Insurance,"American International Group, Inc."
AMT,American Tower,Real Estate,Telecom Tower REITs,American Tower Corporation
AWK,American Water Works,Utilities,Water Utilities,"American Water Works Company, Inc."
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Ameriprise Financial, Inc."
AME,Ametek,Industrials,Electrical Components & Equipment,"AMETEK, Inc."
AMGN,Amgen,Health Care,Biotechnology,Amgen Inc.
APH,Amphenol,Information Technology,Electronic Components,Amphenol Corporation
ADI,Analog Devices,Information Technology,Semiconductors,"Analog Devices, Inc."
ANSS,Ansys,Information Technology,Application Software,"ANSYS, Inc."
AON,Aon plc,Financials,Insurance Brokers,Aon plc
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,APA Corporation
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"Apollo Global Management, Inc."
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Apple Inc.
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Applied Materials, Inc."
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Aptiv PLC
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Arch Capital Group Ltd.
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,Archer-Daniels-Midland Company
ANET,Arista Networks,Information Technology,Communications Equipment,Arista Networks Inc
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Arthur J. Gallagher & Co.
AIZ,Assurant,Financials,Multi-line Insurance,"Assurant, Inc."
T,AT&T,Communication Services,Integrated Telecommunication Services,AT&T Inc.
ATO,Atmos Energy,Utilities,Gas Utilities,Atmos Energy Corporation
ADSK,Autodesk,Information Technology,Application Software,"Autodesk, Inc."
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Automatic Data Processing, Inc."
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"AutoZone, Inc."
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"AvalonBay Communities, Inc."
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,Avery Dennison Corporation
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Axon Enterprise, Inc."
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,Baker Hughes Company
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",Ball Corporation
BAC,Bank of America,Financials,Diversified Banks,Bank of America Corporation
BAX,Baxter International,Health Care,Health Care Equipment,Baxter International Inc.
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Becton, Dickinson and Company"
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,Berkshire Hathaway Inc.
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Best Buy Co., Inc."
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,Bio-Techne Corporation
BIIB,Biogen,Health Care,Biotechnology,Biogen Inc.
BLK,BlackRock,Financials,Asset Management & Custody Banks,"BlackRock, Inc."
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,Blackstone Inc.
BK,BNY Mellon,Financials,Asset Management & Custody Banks,The Bank of New York Mellon Corporation
BA,Boeing,Industrials,Aerospace & Defense,The Boeing Company
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Booking Holdings Inc.
BSX,Boston Scientific,Health Care,Health Care Equipment,Boston Scientific Corporation
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,Bristol-Myers Squibb Company
AVGO,Broadcom,Information Technology,Semiconductors,Broadcom Inc.
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Broadridge Financial Solutions, Inc."
BRO,Brown & Brown,Financials,Insurance Brokers,"Brown & Brown, Inc."
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,Brown-Forman Corporation
BLDR,Builders FirstSource,Industrials,Building Products,"Builders FirstSource, Inc."
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,Bunge Global SA
BXP,"BXP, Inc.",Real Estate,Office REITs,"BXP, Inc."
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"C.H. Robinson Worldwide, Inc."
CDNS,Cadence Design Systems,Information Technology,Application Software,"Cadence Design Systems, Inc."
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Caesars Entertainment, Inc."
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,Camden Property Trust
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,The Campbell's Company
COF,Capital One,Financials,Consumer Finance,Capital One Financial Corporation
CAH,Cardinal Health,Health Care,Health Care Distributors,"Cardinal Health, Inc."
KMX,CarMax,Consumer Discretionary,Automotive Retail,"CarMax, Inc."
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Carnival Corporation & plc
CARR,Carrier Global,Industrials,Building Products,Carrier Global Corporation
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,Caterpillar Inc.
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Cboe Global Markets, Inc."
CBRE,CBRE Group,Real Estate,Real Estate Services,"CBRE Group, Inc."
CDW,CDW Corporation,Information Technology,Technology Distributors,CDW Corporation
COR,Cencora,Health Care,Health Care Distributors,"Cencora, Inc."
CNC,Centene Corporation,Health Care,Managed Health Care,Centene Corporation
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"CenterPoint Energy, Inc."
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"CF Industries Holdings, Inc."
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Charles River Laboratories International, Inc."
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,The Charles Schwab Corporation
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Charter Communications, Inc."
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,Chevron Corporation
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Chipotle Mexican Grill, Inc."
CB,Chubb Limited,Financials,Property & Casualty Insurance,Chubb Limited
CHD,Church & Dwight,Consumer Staples,Household Products,"Church & Dwight Co., Inc."
CI,Cigna,Health Care,Health Care Services,The Cigna Group
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,Cincinnati Financial Corporation
CTAS,Cintas,Industrials,Diversified Support Services,Cintas Corporation
CSCO,Cisco,Information Technology,Communications Equipment,"Cisco Systems, Inc."
C,Citigroup,Financials,Diversified Banks,Citigroup Inc.
CFG,Citizens Financial Group,Financials,Regional Banks,"Citizens Financial Group, Inc."
CLX,Clorox,Consumer Staples,Household Products,The Clorox Company
CME,CME Group,Financials,Financial Exchanges & Data,CME Group Inc.
CMS,CMS Energy,Utilities,Multi-Utilities,CMS Energy Corporation
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,The Coca-Cola Company
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,Cognizant Technology Solutions Corporation
COIN,Coinbase,Financials,Financial Exchanges & Data,"Coinbase Global, Inc."
CL,Colgate-Palmolive,Consumer Staples,Household Products,Colgate-Palmolive Company
CMCSA,Comcast,Communication Services,Cable & Satellite,Comcast Corporation
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Conagra Brands, Inc."
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,ConocoPhillips
ED,Consolidated Edison,Utilities,Multi-Utilities,"Consolidated Edison, Inc."
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Constellation Brands, Inc."
CEG,Constellation Energy,Utilities,Electric Utilities,Constellation Energy Corporation
COO,Cooper Companies (The),Health Care,Health Care Supplies,"The Cooper Companies, Inc."
CPRT,Copart,Industrials,Diversified Support Services,"Copart, Inc."
GLW,Corning Inc.,Information Technology,Electronic Components,Corning Incorporated
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Corpay, Inc."
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Corteva, Inc."
CSGP,CoStar Group,Real Estate,Real Estate Services,"CoStar Group, Inc."
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,Costco Wholesale Corporation
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,Coterra Energy Inc.
CRWD,CrowdStrike,Information Technology,Systems Software,"CrowdStrike Holdings, Inc."
CCI,Crown Castle,Real Estate,Telecom Tower REITs,Crown Castle Inc.
CSX,CSX Corporation,Industrials,Rail Transportation,CSX Corporation
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,Cummins Inc.
CVS,CVS Health,Health Care,Health Care Services,CVS Health Corporation
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,Danaher Corporation
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Darden Restaurants, Inc."
DVA,DaVita,Health Care,Health Care Services,DaVita Inc.
DAY,Dayforce,Industrials,Human Resource & Employment Services,Dayforce Inc
DECK,Deckers Brands,Consumer Discretionary,Footwear,Deckers Outdoor Corporation
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,Deere & Company
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",Dell Technologies Inc.
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Delta Air Lines, Inc."
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,Devon Energy Corporation
